source,destination,edgeContent,timestamp,edgeType
Sh4cMvVljk8Smud,barak_ehud,https://twitter.com/Sh4cMvVljk8Smud/status/1640250944657977344,2023-03-27T07:14:34.000Z,retweet
segallshir,sivanhakolkalul,https://twitter.com/segallshir/status/1640250910914871297,2023-03-27T07:14:26.000Z,retweet
elimagal,orlybarlev,https://twitter.com/elimagal/status/1640250907253256192,2023-03-27T07:14:25.000Z,retweet
Baron28Baron286,hakolhayehudi,https://twitter.com/Baron28Baron286/status/1640250895815303168,2023-03-27T07:14:22.000Z,retweet
hagar_shezaf,ishaycoen,https://twitter.com/hagar_shezaf/status/1640250862600585216,2023-03-27T07:14:14.000Z,quote
tamar2194,baruchikra,https://twitter.com/tamar2194/status/1640250849451450369,2023-03-27T07:14:11.000Z,reply
Miriambendavid,N12News,https://twitter.com/Miriambendavid/status/1640250626629156864,2023-03-27T07:13:18.000Z,retweet
itamar733,MiriBarbi,https://twitter.com/itamar733/status/1640250549487693824,2023-03-27T07:13:00.000Z,retweet
whntfbfi,habibistit,https://twitter.com/whntfbfi/status/1640250457028276224,2023-03-27T07:12:37.000Z,reply
ShalevStella,barak_ehud,https://twitter.com/ShalevStella/status/1640250447360393216,2023-03-27T07:12:35.000Z,retweet
RavitL,barak_ehud,https://twitter.com/RavitL/status/1640250419644334081,2023-03-27T07:12:29.000Z,retweet
ProudinZion,LittleMoiz,https://twitter.com/ProudinZion/status/1640250404783943680,2023-03-27T07:12:25.000Z,retweet
samanio,BenCaspit,https://twitter.com/samanio/status/1640250276912275456,2023-03-27T07:11:55.000Z,quote
ShemuelMeir,adin_dan,https://twitter.com/ShemuelMeir/status/1640250257236787200,2023-03-27T07:11:50.000Z,reply
chamikramer,YinonMagal,https://twitter.com/chamikramer/status/1640250252493037569,2023-03-27T07:11:49.000Z,retweet
medinayehudit,kann_news,https://twitter.com/medinayehudit/status/1640250242191839232,2023-03-27T07:11:46.000Z,reply
medinayehudit,yaara_shapira,https://twitter.com/medinayehudit/status/1640250242191839232,2023-03-27T07:11:46.000Z,mention
MKasirer,naftalibennett,https://twitter.com/MKasirer/status/1640250233652117505,2023-03-27T07:11:44.000Z,retweet
arutz7heb,HezkeiB,https://twitter.com/arutz7heb/status/1640250230632267776,2023-03-27T07:11:44.000Z,retweet
MotiAnav,barak_ehud,https://twitter.com/MotiAnav/status/1640250212898750465,2023-03-27T07:11:39.000Z,retweet
HaiMons,Guy_Baruch,https://twitter.com/HaiMons/status/1640250200697520128,2023-03-27T07:11:36.000Z,retweet
JosephNoylander,yoavzitun,https://twitter.com/JosephNoylander/status/1640250199338631168,2023-03-27T07:11:36.000Z,retweet
RonenTweet,attilus,https://twitter.com/RonenTweet/status/1640250106556317698,2023-03-27T07:11:14.000Z,retweet
foxithefoxx,RomanBronfman,https://twitter.com/foxithefoxx/status/1640250056023449603,2023-03-27T07:11:02.000Z,retweet
vXtCUMQUxKqWPL8,NirBarkat,https://twitter.com/vXtCUMQUxKqWPL8/status/1640249975371190273,2023-03-27T07:10:43.000Z,reply
TheList_M,amit_segal,https://twitter.com/TheList_M/status/1640249917007355904,2023-03-27T07:10:29.000Z,reply
m2CL3T2r7CC7Q38,barak_ehud,https://twitter.com/m2CL3T2r7CC7Q38/status/1640249915254222848,2023-03-27T07:10:28.000Z,quote
KleinVarda,WallaNews,https://twitter.com/KleinVarda/status/1640249882173743106,2023-03-27T07:10:20.000Z,retweet
HagitHoffman,kann_news,https://twitter.com/HagitHoffman/status/1640249822526439426,2023-03-27T07:10:06.000Z,retweet
ODavidai,yoavgallant,https://twitter.com/ODavidai/status/1640249822060920832,2023-03-27T07:10:06.000Z,mention
Margalitshmuel2,DovGilHar,https://twitter.com/Margalitshmuel2/status/1640249816893607937,2023-03-27T07:10:05.000Z,reply
MiriFriedmanEin,Margalitshmuel2,https://twitter.com/MiriFriedmanEin/status/1640249799612956674,2023-03-27T07:10:01.000Z,retweet
MiriFriedmanEin,NitzanHorowitz,https://twitter.com/MiriFriedmanEin/status/1640249799612956674,2023-03-27T07:10:01.000Z,mention
Childish_lion,YoazHendel1,https://twitter.com/Childish_lion/status/1640249766150828032,2023-03-27T07:09:53.000Z,quote
KleinVarda,N12News,https://twitter.com/KleinVarda/status/1640249707552206849,2023-03-27T07:09:39.000Z,retweet
Nehemia_GA,UziBaruch,https://twitter.com/Nehemia_GA/status/1640249704150716416,2023-03-27T07:09:38.000Z,reply
Mayki175,itamarbengvir,https://twitter.com/Mayki175/status/1640249696496111618,2023-03-27T07:09:36.000Z,reply
sroni10,barak_ehud,https://twitter.com/sroni10/status/1640249682571022339,2023-03-27T07:09:33.000Z,retweet
49d728bbdb6844b,49d728bbdb6844b,https://twitter.com/49d728bbdb6844b/status/1640249637322866688,2023-03-27T07:09:22.000Z,retweet
avicohen7485,sivanhakolkalul,https://twitter.com/avicohen7485/status/1640249631031320576,2023-03-27T07:09:21.000Z,retweet
kinneret_h,sivanhakolkalul,https://twitter.com/kinneret_h/status/1640249617869668352,2023-03-27T07:09:17.000Z,retweet
KleinVarda,Itai_Leshem,https://twitter.com/KleinVarda/status/1640249611888500737,2023-03-27T07:09:16.000Z,retweet
MarkovitzTamar,baruchikra,https://twitter.com/MarkovitzTamar/status/1640249586475233280,2023-03-27T07:09:10.000Z,reply
Bld125,Bld125,https://twitter.com/Bld125/status/1640249571887525891,2023-03-27T07:09:06.000Z,quote
Iritab11,sivanhakolkalul,https://twitter.com/Iritab11/status/1640249555659771905,2023-03-27T07:09:03.000Z,retweet
Lv6adkPe1Bwc1d7,podoksik,https://twitter.com/Lv6adkPe1Bwc1d7/status/1640249474328018945,2023-03-27T07:08:43.000Z,retweet
Lv6adkPe1Bwc1d7,elad20023,https://twitter.com/Lv6adkPe1Bwc1d7/status/1640249474328018945,2023-03-27T07:08:43.000Z,mention
NNechushtan,NoyaMatalon,https://twitter.com/NNechushtan/status/1640249457869570048,2023-03-27T07:08:39.000Z,reply
HagitMendes,HagitMendes,https://twitter.com/HagitMendes/status/1640249454048452610,2023-03-27T07:08:38.000Z,reply
AssafTheGeek,Gradygging,https://twitter.com/AssafTheGeek/status/1640249436927410176,2023-03-27T07:08:34.000Z,retweet
SmrYhwdh,RomanBronfman,https://twitter.com/SmrYhwdh/status/1640249409282686976,2023-03-27T07:08:28.000Z,retweet
yossish91,attilus,https://twitter.com/yossish91/status/1640249408229974016,2023-03-27T07:08:27.000Z,reply
BraveBystander,attilus,https://twitter.com/BraveBystander/status/1640249394107654148,2023-03-27T07:08:24.000Z,quote
BraveBystander,attilus,https://twitter.com/BraveBystander/status/1640249394107654148,2023-03-27T07:08:24.000Z,reply
Zahavim2,RomanBronfman,https://twitter.com/Zahavim2/status/1640249375841460224,2023-03-27T07:08:20.000Z,retweet
slowphoton1,H2OHarel,https://twitter.com/slowphoton1/status/1640249347873857540,2023-03-27T07:08:13.000Z,reply
slowphoton1,hanorgil,https://twitter.com/slowphoton1/status/1640249347873857540,2023-03-27T07:08:13.000Z,mention
49d728bbdb6844b,idoshiponi1,https://twitter.com/49d728bbdb6844b/status/1640249334724804608,2023-03-27T07:08:10.000Z,retweet
tziki_brandwine,tziki_brandwine,https://twitter.com/tziki_brandwine/status/1640249327158194176,2023-03-27T07:08:08.000Z,reply
tziki_brandwine,tziki_brandwine,https://twitter.com/tziki_brandwine/status/1640249313497341952,2023-03-27T07:08:05.000Z,reply
tziki_brandwine,tziki_brandwine,https://twitter.com/tziki_brandwine/status/1640249304760590336,2023-03-27T07:08:03.000Z,reply
deneeel,Riklin10,https://twitter.com/deneeel/status/1640249295185100802,2023-03-27T07:08:00.000Z,reply
NoMansLaundry,AdiVaknin6,https://twitter.com/NoMansLaundry/status/1640249249077112833,2023-03-27T07:07:49.000Z,reply
elimagal,LittleMoiz,https://twitter.com/elimagal/status/1640249224221585409,2023-03-27T07:07:44.000Z,retweet
ItayErez5,avigaiel,https://twitter.com/ItayErez5/status/1640249224020258816,2023-03-27T07:07:44.000Z,reply
DvirBen1,talor777gmailco,https://twitter.com/DvirBen1/status/1640249214755061762,2023-03-27T07:07:41.000Z,retweet
1Y7dsKd09m7RZSU,yossidavidov10,https://twitter.com/1Y7dsKd09m7RZSU/status/1640249202029543424,2023-03-27T07:07:38.000Z,reply
NMERERER,kereneubach,https://twitter.com/NMERERER/status/1640249166097010689,2023-03-27T07:07:30.000Z,retweet
youdp53,BenCaspit,https://twitter.com/youdp53/status/1640249128213946368,2023-03-27T07:07:21.000Z,retweet
TruthAboveAll5,Nadav_Eyal,https://twitter.com/TruthAboveAll5/status/1640249115895545856,2023-03-27T07:07:18.000Z,retweet
lipkin_yoni,NadavPerry,https://twitter.com/lipkin_yoni/status/1640249105778716672,2023-03-27T07:07:15.000Z,retweet
KleinVarda,AviBenayahu,https://twitter.com/KleinVarda/status/1640249104759488514,2023-03-27T07:07:15.000Z,retweet
SrugimNews,bentzi_r,https://twitter.com/SrugimNews/status/1640249056952741888,2023-03-27T07:07:04.000Z,retweet
SrugimNews,bentzi_r,https://twitter.com/SrugimNews/status/1640249010584690689,2023-03-27T07:06:53.000Z,retweet
DaaboolMoran,amit_segal,https://twitter.com/DaaboolMoran/status/1640248971309326337,2023-03-27T07:06:43.000Z,reply
AlonSolomon5,fictivit,https://twitter.com/AlonSolomon5/status/1640248957069832196,2023-03-27T07:06:40.000Z,reply
AditMizrahi,ItayBlumental,https://twitter.com/AditMizrahi/status/1640248924903464960,2023-03-27T07:06:32.000Z,retweet
chamikramer,YoavNews1,https://twitter.com/chamikramer/status/1640248910143733760,2023-03-27T07:06:29.000Z,retweet
avigailmaza,N12News,https://twitter.com/avigailmaza/status/1640248886420701185,2023-03-27T07:06:23.000Z,retweet
itay_timor,yoavzitun,https://twitter.com/itay_timor/status/1640248858931257345,2023-03-27T07:06:16.000Z,retweet
island_moshe,attilus,https://twitter.com/island_moshe/status/1640248802194980865,2023-03-27T07:06:03.000Z,reply
kHQRAiB94oTFshr,MiriBarbi,https://twitter.com/kHQRAiB94oTFshr/status/1640248797090529281,2023-03-27T07:06:02.000Z,retweet
yodokolise,barak_ehud,https://twitter.com/yodokolise/status/1640248771366776832,2023-03-27T07:05:56.000Z,reply
